,제목,가격,리뷰수,리뷰평점,평점비율
31,"*he Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",$10.99,"31,470",4.8,"['87%', '8%', '3%', '1%', '1%']"
32,*2 Rules for Life: An Antidote to Chaos,$15.39,"39,498",4.7,"['86%', '7%', '3%', '1%', '2%']"
33,"*NNATE Vitality Women's Once-Daily Probiotics, 120 Billion CFU, 32 Tested Strains, Yeast Control+Vaginal PH Support, Gut+Immunity, Prebiotics, Digestive Enzymes & Organic Cranberry, 30 Veggie Caps",$18.99,14,4.9,"['88%', '12%', '0%', '0%', '0%']"
34,"*igsaw Health CoQ10 w/SRT, Sustained Release Technology, 60 Count",$29.97,78,4.6,"['80%', '10%', '3%', '1%', '5%']"
35,"*arden of Life Whole Food Probiotic Supplement - Primal Defense Ultra Ultimate Probiotic Dietary Supplement for Digestive and Gut Health, 90 Vegetarian Capsules",$35.94,"3,062",4.6,"['81%', '10%', '4%', '2%', '3%']"
36,*ONGKUO Scales for Body Weight Digital Bathroom Weight Scale Body Fat Scale Smart Bluetooth Scale for BMI Body Composition Monitor Health Analyzer with Smartphone APP,$15.59,"1,377",4.3,"['67%', '13%', '10%', '3%', '7%']"
37,"*NEVIFIT Smart Body Fat Scale, Highly Accurate Bluetooth Digital Bathroom Body Composition Analyzer, Measures Weight, Body Fat, Water, Muscle, BMI, Visceral Fat & Bone Mass for Unlimited Users",$39.99,"1,110",4.7,"['84%', '11%', '2%', '1%', '2%']"
38,"*nfair Advantage with CoQ10, PQQ, & Brain Octane MCT Oil, 30 Count, Bulletproof Keto Caffeine-Free Supplement for Circulatory, Cognitive, Cardiovascular, & Mental Health Support",$59.95,291,4.1,"['65%', '10%', '9%', '5%', '11%']"
39,"*ature Made Vitamin D3, 300 Softgels, Vitamin D 1000 IU (25 mcg) Helps Support Immune Health, Strong Bones and Teeth, & Muscle Function, 125% of the Daily Value for Vitamin D in One Daily Softgel",$10.29,"16,321",4.8,"['87%', '10%', '2%', '0%', '1%']"
40,"*imitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",$8.04,"10,793",4.7,"['81%', '11%', '5%', '1%', '1%']"
41,*ommunity and Public Health Nursing,$95.19,1,5,"['100%', '0%', '0%', '0%', '0%']"
42,*mbark | Dog DNA Test | Breed & Health Kit | Breed Identification & Canine Genetic Health Screening,$149.00,"7,666",4.8,"['87%', '7%', '2%', '1%', '2%']"
43,*unwarrior Enzorb - Plant-Based Vegan Digestive Enzymes with Probiotics - Essential Supplements to Support Optimal Health - for Men & Women,$34.95,52,4.6,"['78%', '11%', '6%', '0%', '4%']"
44,"*arden of Life Multivitamin for Men, Vitamin Code Raw One for Men - 75 Capsules, Once Daily Mens Vitamins plus Fruit, Veggies & Probiotics for Mens Health, Vegetarian One a Day Mens Multivitamins",$27.84,"2,050",4.7,"['84%', '11%', '3%', '1%', '2%']"
45,"*etamucil Fiber Thins, Psyllium Husk Fiber Supplement, Digestive Health Support and Satisfy Hunger, Chocolate Flavored, 12 Servings (Pack of 4)",$27.21,"2,445",4.7,"['81%', '11%', '5%', '2%', '2%']"
