,제목,가격,리뷰수,리뷰평점,평점비율
26,"*IATONE 60W Portable Speaker with Titanium Subwoofer, Wireless Outdoor Waterproof Big Loud Bluetooth Speakers for Camping (Black)",$99.99,27,4.6,"['74%', '14%', '6%', '6%', '0%']"
27,"*BL CLIP 3 - Waterproof Portable Bluetooth Speaker - Teal, 6.5 x 4.3 x 2.2 (JBLCLIP3TEALAM)",$49.95,"32,360",4.8,"['86%', '9%', '3%', '1%', '2%']"
28,"*luetooth Speaker, BOGASING M4 Speaker with 40W Stereo HD Surround Sound, Deeper Bass, 24H Playtime, IPX7 Waterproof, Bluetooth 5.0 TWS Wireless Dual Pairing Portable Speaker for Home, Outdoor Sport",$66.99,38,4.7,"['76%', '15%', '9%', '0%', '0%']"
29,"*luetooth Speaker X5 Pro-Portable Wireless Speaker V5.0 with 20W Loud Stereo Sound, TWS, 24H Playtime & IPX7 Waterproof Vanzon",$49.99,851,4.8,"['86%', '10%', '2%', '1%', '1%']"
30,*mazon Basics 9-Watt Bluetooth Stereo Speaker with Water Resistant Design - Blue,$39.99,702,4.5,"['72%', '16%', '7%', '2%', '3%']"
31,"*eauro Projector,Smart WiFi Mini Projector 1080P FHD,Portable Movie Projector with Dual Speakers,6000 Lumen,Auto Keystone Correction,80000 Hrs LED Lamp Life for Home Entertainment",$169.99,300,4.3,"['77%', '3%', '3%', '7%', '10%']"
32,"*ESHP Bluetooth speaker, portable wireless Bluetooth speaker, with Gradient Light, Bluetooth 5.0, 3D stereo, IPX6 waterproof,15 hours of playback time black speaker, suitable for home, outdoor, travel",$22.99,3,5,"['100%', '0%', '0%', '0%', '0%']"
33,"*ontZ Angle Solo - Bluetooth Portable Speaker, Compact Size, Surprisingly Loud Volume & Bass, 100 Foot Wireless Range, IPX5, Perfect Travel Speaker, Bluetooth Speakers by Cambridge Sound Works (Black)",$16.99,"16,775",4.6,"['79%', '13%', '4%', '2%', '2%']"
34,"*FX PBX-615SM 15"" Bluetooth Rechargeable Speaker with LED Lights, Microphone and Stand (2021 Model)",$109.99,64,3.7,"['52%', '14%', '8%', '7%', '18%']"
35,*lipsch Synergy Black Label B-200 Bookshelf Speakers with Tractrix Horn Technology and Efficient Design,Out of Stock,163,4.7,"['83%', '11%', '4%', '0%', '1%']"
36,"*luetooth Speaker, DOSS SoundBox XL 32W Bluetooth Home Speakers, 20W Louder Volume, DSP Technology with 12W Subwoofer, Wireless Stereo Pairing, Speakers for Indoor Party",$69.99,"4,979",4.4,"['70%', '16%', '7%', '3%', '4%']"
37,*ose SoundLink Revolve + Portable & Long-Lasting Bluetooth 360 Speaker - Lux Gray,$249.00,"6,696",4.7,"['86%', '8%', '2%', '1%', '3%']"
38,"*BL FLIP 5, Waterproof Portable Bluetooth Speaker, Blue (New Model)",$119.95,"29,822",4.8,"['89%', '7%', '2%', '1%', '2%']"
39,"*luetooth Speaker,MusiBaby Speaker,Outdoor, Portable,Waterproof,Wireless Speakers,Dual Pairing, Bluetooth 5.0,Loud Stereo,Booming Bass,1500 Mins Playtime for Home&Party Orange",Out of Stock,75,4.5,"['81%', '5%', '5%', '2%', '7%']"
40,"*ontZ Angle 3 Bluetooth Portable Speaker, Louder Volume, Crystal Clear Stereo Sound, Rich Bass, 100 Foot Wireless Range, Microphone, IPX5, Bluetooth Speakers (Black)",$25.99,"144,527",4.6,"['75%', '14%', '5%', '2%', '3%']"
41,"*ESHP Bluetooth Speakers,Portable Wireless Bluetooth Speaker,Outdoor Sports Speakers with Bluetooth 5.0,IPX6 Waterproof,3D Stereo,10 Hours Playback time,Suitable for iPhone,Android,Blue",$21.99,213,3.4,"['45%', '14%', '9%', '7%', '25%']"
