,제목,가격,리뷰수,리뷰평점,평점비율
28,"*utoFull Gaming Chair Office Chair Desk Chair with Ergonomic Lumbar Support, Racing Style PU Leather PC High Back Adjustable Swivel Task Chair with Footrest，Brown.",$209.99,114,4.4,"['70%', '16%', '6%', '3%', '6%']"
29,"*ICYSTORE Retro Game Console with 818 Retro Video Games, HDMI HD Output NES Retro Game Console Wireless, Old Arcade Plug and Play Video Games Console is an Ideal Gift Choice for Children and Adults",Out of Stock,15,3.7,"['52%', '15%', '9%', '3%', '21%']"
30,"*amebound Super Console X Pro HDMI TV Retro Videogame Player, Built-in 41,000 + Games, 2 SNES Wireless Controllers Travel Carry case (PRO-128G)",Out of Stock,10,4.3,"['73%', '13%', '0%', '0%', '14%']"
31,"*lassic Mini Retro Game Console with Build-in 620 Video Games and 2 NES Classic Controllers,Old School Video Game System, Mini Classic NES Console for Kids and Adults,Ideal Birthday Gift",$31.99,1,5,"['100%', '0%', '0%', '0%', '0%']"
32,"*ideo Game Storage Stand Tower for PS5/ PS4/ Xbox Series S & X/Xbox one Game, Universal Game Disc Holder Vertical Stand Organizer Tower",Out of Stock,8,4.6,"['81%', '0%', '19%', '0%', '0%']"
33,"*IFTREN Plug & Play Classic Handheld Game Console,Classic Game Console Built-in 620 Game Handheld Game Console, Video Game Player Console for Family TV Video",$169.99,9,4.1,"['57%', '0%', '43%', '0%', '0%']"
34,"*ETGEAR Wi-Fi Range Extender EX3700 - Coverage Up to 1000 Sq Ft and 15 Devices with AC750 Dual Band Wireless Signal Booster & Repeater (Up to 750Mbps Speed), and Compact Wall Plug Design",$35.96,"57,671",3.9,"['50%', '17%', '13%', '7%', '13%']"
35,*ubble Popper Video Game Controller Fidget Stress Relief Toy Fun Game Design Sensory Toy,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
36,*he Video Game Debate 2 (Routledge Debates in Digital Media Studies),$31.69,2,5,"['100%', '0%', '0%', '0%', '0%']"
37,*asic Fun Men's Basic Fun Mini Retro Tetris Arcade Game,$19.99,549,4.5,"['74%', '15%', '6%', '2%', '3%']"
38,*arbie Video Game Hero Doll - Purple & Pink Hair,Out of Stock,11,4.4,"['84%', '0%', '0%', '0%', '16%']"
39,*ideo Game Party Balloons Set for Boys Girls Birthday Decorations Game Controller Level Up Aluminum Foil Jumbo Balloon for Birthday Party and Game Party Decoration (Number 12),$11.99,3,3.5,"['62%', '0%', '0%', '0%', '38%']"
40,"*ideo Game Balloons Level Up 12th Birthday Party Supplies, 18 Pieces (12th)",$17.48,21,4.6,"['76%', '12%', '12%', '0%', '0%']"
41,"*ASEGMER 16 Bit Kids Handheld Games Built-in 200 HD Video Games, 2.5 Inch Portable Game Player with Headphones - Best Travel Electronic Toys Gifts for Toddlers Age 3-10 Years Old Children (Green)",$30.59,283,3.9,"['54%', '14%', '12%', '4%', '16%']"
42,"*uper Integrated Retro Game Console, Plug and Play Video Game Stick, Built-in 3500 Games, 9 Classic emulators, High Definition HDMI Output for TV, 4K Console with Dual 2.4G Wireless Controllers - 32G",$55.99,14,3,"['39%', '4%', '18%', '0%', '39%']"
43,"*lassic Game Console,Handheld Mini Retro Gaming Console with Built in 620 Video Classic Games and 2x4 Classic Edition Controller Av Output Video Games, Ideal Gift for Children and Adults",$35.99,65,4,"['65%', '6%', '11%', '4%', '15%']"
44,*lassic Retro Game Console Mini Video Game Consoles with 620 Games for Style NES Game - AV Output,Out of Stock,35,4,"['55%', '16%', '10%', '12%', '7%']"
45,*ega Genesis Mini - Genesis,$79.99,"11,305",4.7,"['82%', '12%', '4%', '1%', '2%']"
46,"*ENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",$25.99,"66,839",4.4,"['69%', '14%', '7%', '3%', '6%']"
47,*rin 2 Video Game Controller Bubble Popper Stress Relief Anxiety Toy Fun Design Autism Sensory Stress,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
48,"*SXUS Retro Game Console , Plug & Play Game Player Classic 8 Bit Mini Video Game Player Built-in 620 AV Output Support TV Play…",$21.99,189,3.6,"['49%', '13%', '8%', '9%', '21%']"
49,*ideo Games: Design and Code Your Own Adventure (Build It Yourself),$14.29,20,4.6,"['70%', '24%', '6%', '0%', '0%']"
50,"*etro Handheld Game Console,Built in 310 Classic Games with 2 NES Controllers Video Game Player ,Support AV Output Old School Travel Game Console ,Ideal Gift for Children and Adults (Gray)",$28.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
51,*intendo Game & Watch: Super Mario Bros. - Not Machine Specific,Out of Stock,"7,930",4.8,"['87%', '8%', '3%', '1%', '1%']"
52,"*XD S192K Singularity [2019 June Update- Support Google Store] 7"" 1920X1200 Quad Core 4G/64GB RK3288 Handheld Game Player Gamepad 10000mAh Android 5.1 Tablet PC Portable Video Game Console",$389.99,11,3.4,"['37%', '16%', '15%', '14%', '18%']"
53,*scream Fizz Creations Vintage Video Game Controller Squishy Stress Ball,$11.49,1,3,"['0%', '0%', '100%', '0%', '0%']"
54,*ungeons & Dragons: Dark Alliance - PlayStation 4,$39.99,8,1.9,"['15%', '0%', '16%', '0%', '69%']"
55,*redevZone X12 Handheld Game Console 5.1 inch Retro Video Games Consoles Built-in 900 Classic Games LCD Screen Rechargeable Battery Portable Style Game Consoles,$52.99,515,3.8,"['49%', '15%', '14%', '7%', '14%']"
56,"*G351M Retro Game Console- Wireless Video Handheld Game Console Built in 2512 Games, 20 Emulators 3D Joystick 3.5"" IPS Screen RK3326 Chip Portable Mini Gaming Console System Men Boys Gifts [Upgrade]",Out of Stock,3,4,"['34%', '33%', '33%', '0%', '0%']"
57,"*awiton Wireless Retro Game Console with TV System & Dual 2.4GHz Controllers Gamepads, Super Console X Pro Video TV Game Console Built in 41000+ Games, 50+ Emulator Console for 4K TV HDMI/ AV Output",$98.89,58,4,"['59%', '13%', '10%', '6%', '11%']"
58,"*usso Ergonomic (Black) Gaming Chair Adjustable Esports Gamer Chair, Adults Racing Video Game Chair, Large Size PU Leather High-Back Executive Office Chair",$165.99,"1,573",4.2,"['64%', '16%', '7%', '5%', '8%']"
59,"*amer Wall Sticker, Game Wall Decals, Game Fans Wall Sticker, Creative Video Game Poster Sticker, Removable DIY Cartoon Party Wallpaper, Children Video Game Room Decor, Playroom Bedroom Decoration - Game Night Style",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
60,"*utoFull Gaming Chair Office Chair Desk Chair with Ergonomic Lumbar Support, Racing Style PU Leather PC High Back Adjustable Swivel Task Chair with Footrest，Grey.",$209.99,114,4.4,"['70%', '16%', '6%', '3%', '6%']"
61,"*lue Whale Massage Gaming Chair with Footrest and Metal Base,Thickened Seat Cushion,Adjustable Aluminum Alloy Armrest,High Back PC Racing Office Computer Desk Ergonomic Swivel Task Chair",$219.99,537,4.5,"['72%', '15%', '5%', '3%', '5%']"
62,"*awiton Wireless Retro Game Console with Dual 2.4GHz Controllers Gamepads, Super Console X Handheld Video TV Game Console Built in 41000+ Games, 50+ Emulator Console for 4K TV HDMI/AV Output, 128GB",$102.85,147,4,"['56%', '18%', '12%', '5%', '10%']"
63,"*amebound Super Console X Pro HDMI TV Retro Videogame Player, Built-in 41,000 + Games, 2 SNES Wireless Controllers, 2 SNES Wired Controllers & Travel Carry case (PRO-128G)",Out of Stock,10,4.3,"['73%', '13%', '0%', '0%', '14%']"
64,*umanji: The Video Game (Nintendo Switch),Out of Stock,"5,066",4.5,"['74%', '12%', '6%', '4%', '5%']"
65,*etro Throwback Video Game Dessert Cupcake Topper Green Glitter 13 Level Up Theme Decorations Girls Boys Happy Birthday Party Decor Supplies Set 18pcs,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
66,"*uper Soft Video Game “Retro Blow Me” Funny Game Pun, Gaming Throw Blanket 50 inches x 60 inches - Gift for Video Games Lovers, Game Room Decor, Gag Gift (Blue)",$19.99,10,4.7,"['86%', '0%', '14%', '0%', '0%']"
67,"*evel 13 Video Game Happy Birthday Backdrop Banner, Level Up Birthday Party Supplies with Game Controller Print Gaming Theme Backdrop for Photography, Photo Props, Video Game Party Decorations play point bonus",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
68,"*AIHUANG RG350P Handheld Game Console,Plug & Play Video Games with 32G TF Card 2500 Classic Games, Portable Game Console 3.5 Inch HD Screen Supports HDMI Output (Black)",$79.99,12,3.6,"['53%', '11%', '0%', '19%', '17%']"
69,"*INGDU Game Card Case for Nintendo Switch,Portable & Thin Hard Shell Box, Protective Shockproof Cartridge Holder Carrying Storage Case Box with 12 Cartridge Slots for Switch NS NX,Red-M",Out of Stock,"1,572",4.8,"['89%', '8%', '2%', '0%', '1%']"
70,"*omantic Anniversary Card for Video Game Lovers, Cute Love Card for him her, Unique Birthday Card",$4.96,0,0,"['0%', '0%', '0%', '0%', '0%']"
71,"*asic Fun Classic, Retro Handheld Football Electronic Game, One Size Fits All",$16.95,"1,334",4.4,"['71%', '14%', '7%', '3%', '5%']"
72,"*andheld Game Console Portable, Free 1000+ Video Games, 4.3 TFT Screen&Camera Support TV Output, Classic Dual-Shake Style, Rechargeable, for GBA/GBC/SFC Games, Kids Adult Birthday Xmas Gifts (Peach)",Out of Stock,10,4.9,"['86%', '14%', '0%', '0%', '0%']"
73,"*owerA Spectra Infinity Enhanced Wired Controller for Xbox Series X|S, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox One, Officially Licensed - Xbox Series X",$39.99,2,4.5,"['50%', '50%', '0%', '0%', '0%']"
74,*ualShock 4 Wireless Controller for PlayStation 4 - Jet Black (Renewed),Out of Stock,349,4,"['64%', '11%', '6%', '3%', '16%']"
75,"*ove Cake Topper,Wedding Gamer cake topper,Gaming Video Game Controller Cake Topper Custom Cake Topper",Out of Stock,1,5,"['100%', '0%', '0%', '0%', '0%']"
76,*REAMHAX M8 Game Stick 4K Game Console with Two 2.4G Wireless Gamepads Two Players Dual Play HDMI Output Built in 3500 Classic Games Retro Video Game Console for Android TV/PC/Laptop/Projector,Out of Stock,2,5,"['100%', '0%', '0%', '0%', '0%']"
77,"*owerA FUSION Pro 2 Wired Controller for Xbox Series X|S, gamepad, wired video game controller, gaming controller, works with Xbox One",$89.99,8,4.7,"['86%', '0%', '14%', '0%', '0%']"
78,*ame Zone - Pixel Video Game Party or Birthday Party Round Candy Sticker Favors - Labels Fit Hershey’s Kisses (1 Sheet of 108),$9.99,1,5,"['100%', '0%', '0%', '0%', '0%']"
79,*4Pcs Video Games Party Supplies Favors -12Pcs Keychain 12Pcs Bracelets 12Pcs Button Pins 38 Pcs Stickers Gifts for Kids Game Fans Boys Battle Royale Party Favors Video Game Themed Supplies,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
80,"*etro Classic Game Console,Built-in 400 Games Super Mini Video Game with 2 Classic Controllers.",$29.98,3,3.3,"['33%', '0%', '34%', '34%', '0%']"
81,*0 Pieces Video Game Party Sign Game Party Themed Directional Signs Video Game Sign Funny Video Game Cutouts Welcome Yard Outdoor Wall Sign Party Supplies Photo Props Backdrop Decoration Party Decor,$9.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
82,*he World of the Witcher: Video Game Compendium,$21.93,"1,544",4.9,"['90%', '7%', '2%', '0%', '1%']"
83,"*ealgen Video Gaming Chair with Bluetooth Speakers,Foldable and Adjustable Ergonomic Back Support, Metal Base Swiving PU Leather Leisure Gamer Chair (Retro-Black)",$199.99,34,4.3,"['64%', '20%', '4%', '5%', '8%']"
