,제목,가격,리뷰수,리뷰평점,평점비율
36,"*eaniac Flavor Freak Madagascar Vanilla | Flavored Light Roast, Single Serve Coffee K Cup Pods | Rainforest Alliance Certified | 30 Compostable, Plant-Based Coffee Pods | Keurig Brewer Compatible",$14.99,728,4.4,"['69%', '16%', '8%', '3%', '3%']"
37,*axwell House Original Medium Roast Ground Coffee (30.6 oz Canister),$4.99,"3,679",4.8,"['88%', '8%', '2%', '1%', '1%']"
38,"*eal Good Coffee Co Whole Bean Coffee, Certified Organic Dark Roast Coffee Beans, 2 Pound Bag",Out of Stock,"4,352",4.5,"['73%', '16%', '7%', '2%', '2%']"
39,"*tarbucks Espresso Dark Roast Whole Bean Coffee, 20 Ounce (Pack of 1)",Out of Stock,"9,365",4.7,"['83%', '10%', '4%', '1%', '2%']"
40,*tarbucks Medium Roast K-Cup Coffee Pods — Breakfast Blend for Keurig Brewers — 1 Box (32 Pods),Out of Stock,"60,461",4.8,"['87%', '8%', '3%', '1%', '2%']"
41,"*rispy Kreme Classic, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 96 Count",$47.62,"9,806",4.7,"['82%', '11%', '4%', '1%', '1%']"
42,"*6 Count Variety (12 Amazing Blends), Single serve Pods for Keurig K cups Brewers - Premium Roasted Coffee (Variety, 96 Compatible with 2.0)",Out of Stock,"13,174",4.3,"['67%', '14%', '8%', '4%', '7%']"
43,"*eet's Coffee Major Dickason's Blend, Dark Roast Whole Bean Coffee, 18 oz",Out of Stock,"5,020",4.6,"['79%', '12%', '4%', '2%', '3%']"
44,"*reen Mountain Coffee Roasters Caramel Vanilla Cream, Ground Coffee, Flavored Light Roast, Bagged 12 oz",Out of Stock,"4,054",4.7,"['79%', '12%', '5%', '2%', '2%']"
45,"*EATH WISH COFFEE Ground Coffee Dark Roast [16 oz.] The World's Strongest Coffee - Organic, Fair Trade, Strong Coffee Grounds from Arabica, Robusta (1-Pack)",Out of Stock,"36,628",4.7,"['81%', '9%', '5%', '2%', '2%']"
46,"*olgers Coffee, Classic(Medium) Roast, 51 Ounce",Out of Stock,95,4.8,"['91%', '5%', '2%', '0%', '2%']"
47,"*ommunity Coffee Breakfast Blend Medium Roast Single Serve K-Cup Compatible Coffee Pods, Box of 72 Pods",$29.66,"2,991",4.8,"['88%', '7%', '3%', '1%', '1%']"
48,"*afe Du Monde Coffee with Chicory, 15-Ounce (Pack of 2)",Out of Stock,"2,679",4.8,"['87%', '8%', '2%', '1%', '1%']"
49,"*65 by Whole Foods Market, Organic Ground Coffee, Vienna Roast - Pacific Rim (Bag), 24 Ounce",Out of Stock,"2,075",4.6,"['74%', '16%', '6%', '2%', '2%']"
50,*offee Kult Coffee Beans Dark Roasted - Highest Quality Delicious Organically Sourced Fair Trade - Whole Bean Coffee - Fresh Gourmet Aromatic Artisan Blend (32oz),Out of Stock,"5,949",4.4,"['70%', '15%', '9%', '3%', '4%']"
51,"*mazonFresh Just Bright Whole Bean Coffee, Light Roast, 32 Ounce (Pack of 1)",Out of Stock,"2,111",4.4,"['65%', '19%', '9%', '3%', '3%']"
52,"*arley Coffee One Love, 100% Ethiopian, Medium Roast Coffee, Keurig K-Cup Brewer Compatible Pods, 24 Count",$13.58,"1,965",4.6,"['77%', '13%', '5%', '2%', '2%']"
53,"*mazonFresh Colombia Ground Coffee, Medium Roast, 12 Ounce",Out of Stock,"3,092",4.3,"['61%', '21%', '11%', '4%', '4%']"
54,"*mazon Brand - 100 Ct. Solimo Light Roast Coffee Pods, Hazelnut Flavored, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"3,873",4.5,"['72%', '15%', '6%', '3%', '3%']"
55,"*reen Mountain Coffee Roasters Dark Magic, Single-Serve Keurig K-Cup Pods, Dark Roast Coffee, 24 Count ( Pack Of 4 )",Out of Stock,"17,726",4.8,"['86%', '10%', '3%', '1%', '1%']"
56,"*aughing Man Columbia Huila, Single-Serve Keurig K-Cup Pods, Dark Roast Coffee, 60 Count",$67.78,"4,228",4.7,"['82%', '11%', '4%', '2%', '1%']"
57,*LK & Bold | Rise & GRND Coffee Blend | Fair Trade Certified | Medium Roast | Whole Bean Coffee | 12 oz. bag,Out of Stock,800,4.6,"['77%', '11%', '6%', '3%', '3%']"
58,"*olgers Classic Roast Instant Coffee Crystals, 8 Ounces",Out of Stock,"11,647",4.7,"['80%', '12%', '5%', '1%', '2%']"
59,*magine Kona Organic Coffee Beans | Arabica Kona Beans | Top Grade Air Roasted | Medium Dark Roast | Organic Whole Bean - 16oz,Out of Stock,422,4.3,"['67%', '13%', '10%', '7%', '4%']"
60,"*LB Mayorga Organics Café Cubano Roast, Dark Roast Whole Bean Coffee, Specialty-Grade, USDA Organic, Non-GMO Verified, Direct Trade, Kosher, 100% Arabica Beans",Out of Stock,"4,978",4.6,"['79%', '12%', '5%', '2%', '2%']"
61,"*uroast Low Acid Ground Coffee, Bourbon Pecan (Caffeinated) Flavor, High Antioxidant, 12 Ounce",$8.47,"4,398",4.2,"['65%', '13%', '7%', '5%', '10%']"
62,"*F Bay Coffee OneCUP Organic Rainforest Blend 80 Ct Medium Roast Compostable Coffee Pods, K Cup Compatible including Keurig 2.0 (Packaging May Vary)",$33.99,"14,147",4.6,"['78%', '12%', '5%', '2%', '2%']"
63,"*ommunity Coffee Café Special Medium-Dark Roast Decaf Single Serve K-Cup Compatible Coffee Pods, Box of 72 Pods",$34.72,"2,991",4.8,"['88%', '7%', '3%', '1%', '1%']"
64,"*llegro Coffee Organic Espresso Sierra Ground Coffee, 12 oz",Out of Stock,435,4.4,"['69%', '16%', '7%', '6%', '3%']"
65,"*evalia Espresso Dark Roast Ground Coffee (12 oz Bags, Pack of 6)",$35.88,654,4.8,"['89%', '7%', '3%', '1%', '1%']"
66,"*unkin' Donuts Coffee, Original Blend Medium Roast Coffee, K Cup Pods for Keurig Coffee Makers, 128 Count",$64.17,"1,751",4.9,"['93%', '4%', '1%', '1%', '1%']"
67,"*thical Bean Fairtrade Organic Coffee, Sweet Espresso Medium Dark Roast, Ground Coffee Beans - 100% Arabica Coffee (8 oz Bag), 0.5 Pound (Pack of 1)",$7.96,268,4.4,"['66%', '17%', '9%', '4%', '3%']"
68,"*cCafe Premium Medium Roast K-Cup Coffee Pods, Premium Roast, 84 Count",Out of Stock,"38,275",4.8,"['85%', '9%', '3%', '1%', '1%']"
69,"*eet’s Coffee Major Dickason's Blend K-Cup Coffee Pods for Keurig Brewers, Dark Roast, 75 Pods",$32.80,"36,889",4.8,"['87%', '9%', '3%', '1%', '1%']"
70,*olgers Classic Roast Ground Coffee (51 oz.),Out of Stock,"2,336",4.8,"['91%', '6%', '2%', '0%', '1%']"
71,"*mazonFresh Just Bright Ground Coffee, Light Roast, 32 Ounce",$11.15,113,4.5,"['70%', '16%', '8%', '2%', '4%']"
72,"*mazonFresh Donut Cafe Ground Coffee, Medium Roast, 32 Ounce",$13.43,271,4.5,"['70%', '16%', '7%', '4%', '2%']"
73,"*he Original Donut Shop Keurig Single-Serve K-Cup Pods, Regular Medium Roast Coffee, 72 Count",$30.23,"44,108",4.8,"['85%', '10%', '3%', '1%', '1%']"
74,"*eurig Coffee Lovers' Collection Variety Pack, Single-Serve Coffee K-Cup Pods Sampler, 40 Count",Out of Stock,"44,999",4.6,"['78%', '14%', '6%', '1%', '1%']"
75,*tarbucks Medium Roast Ground Coffee - Pike Place Roast - 100% Arabica - 1 Bag (20 Oz.),Out of Stock,"29,427",4.7,"['84%', '10%', '3%', '1%', '2%']"
76,"*mazonFresh Colombia Ground Coffee, Medium Roast, 32 Ounce",Out of Stock,"5,989",4.4,"['67%', '19%', '8%', '3%', '3%']"
